date	edinet_code	docTypeCode	docID
2015-07-14	E01723	140	S1005F03
2015-07-14	E03344	140	S1005FIS
2015-07-14	E03118	140	S1005FMZ
2015-07-14	E02072	140	S1005EU4
2015-07-14	E00552	140	S1005DTK
2015-07-14	E03462	140	S1005FJB
2015-07-14	E01377	140	S1005FSY
2015-07-14	E05042	140	S1005F78
2015-07-14	E03094	140	S1005FT4
2015-07-14	E02464	140	S1005FOF
2015-07-14	E01165	140	S1005FMY
2015-07-14	E01524	140	S1005FFF
2015-07-14	E00617	140	S1005FQN
2015-07-14	E24753	140	S1005EV4
2015-07-14	E03490	140	S1005EYO
2015-07-14	E02801	140	S1005FIE
2015-07-14	E03312	140	S1005FK4
2015-07-14	E02302	140	S1005F98
2015-07-14	E04566	140	S1005FF6
2015-07-14	E30454	140	S1005EAX
2015-07-14	E05096	140	S1005FL0
2015-07-14	E03509	140	S1005F4E
2015-07-14	E03467	140	S1005FVE
2015-07-14	E03372	140	S1005FDO
2015-07-14	E03397	140	S1005FEP
2015-07-14	E04874	140	S1005FQ4
2015-07-14	E00246	140	S1005FIL
2015-07-14	E02521	140	S1005FB9
2015-07-14	E05230	140	S1005FUG
2015-07-14	E02892	140	S1005FMO
2015-07-14	E02585	140	S1005FTJ
2015-07-14	E05584	140	S1005FSZ
2015-07-14	E03179	140	S1005FFO
2015-07-14	E05083	140	S1005DUO
2015-07-15	E05368	140	S1005G9Y
2015-07-15	E03221	140	S1005FWJ
2015-07-15	E03319	140	S1005G1A
2015-07-15	E00863	140	S1005FWW
2015-07-15	E01587	140	S1005FKM
2015-07-15	E03349	140	S1005G3K
2015-07-15	E04751	140	S1005G65
2015-07-15	E03428	140	S1005FZL
2015-07-15	E04784	140	S1005G6I
2015-07-15	E05278	140	S1005G12
2015-07-15	E03365	140	S1005FXT
2015-07-15	E02897	140	S1005GAI
2015-07-15	E02553	140	S1005EXU
2015-07-15	E00896	140	S1005G8X
2015-07-15	E31453	140	S1005G30
2015-07-15	E22612	140	S1005G1F
2015-07-15	E30002	140	S1005DOW
2015-07-15	E03199	140	S1005FVC
2015-07-15	E04582	140	S1005GAU
2015-07-15	E26839	140	S1005G0E
2015-07-15	E26549	140	S1005G1M
2015-07-15	E30504	140	S1005FCS
2015-07-15	E05409	140	S1005G7W
2015-07-15	E04583	140	S1005FD8
2015-07-15	E04086	140	S1005EXI
2015-07-15	E01176	140	S1005G9O
2015-07-15	E03223	140	S1005G92
2015-07-15	E05630	140	S1005G5P
2015-07-15	E05643	140	S1005G7P
2015-07-15	E03443	140	S1005G6U
2015-07-15	E21035	140	S1005G7T
2015-07-15	E00447	140	S1005G4C
2015-07-15	E03305	140	S1004YJI
2015-07-15	E02703	140	S1005FXY
2015-07-15	E04213	140	S1005FNR
2015-07-15	E02989	140	S1005BQ4
2015-07-15	E01465	140	S1005G5R
2015-07-15	E05316	140	S1005G0X
2015-07-15	E03268	140	S1005F6I
2015-07-15	E03274	140	S1005FTY
2015-07-15	E02238	140	S1005FYS
2015-07-15	E05611	140	S1005G4Q
2015-07-15	E04369	140	S1005FG3
