コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
6070	キャリアリンク	産業	人材派遣・雇用サービス	9590400	13.8	16.0	"1.55
2.16
7.32
7.49
9.48"	1.45	1.55	1.68	2.16	7.32	7.32	7.32	7.37	7.49
3177	ありがとうサービス	消費者循環	専門小売	4463600	3.2	3.4	"10.74
-1
-1
-1
10.85"	2.35	10.74	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3896	阿波製紙	基礎材料	紙・紙製品	2648900	1.7	3.9	"2.64
-1
-1
-1
2.64"	0.41	2.64	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3176	三洋貿易	産業	Industrial Distribution	24763800	10.4	11.2	"1.75
4.51
4.7
11.47
11.55"	0.88	1.75	2.55	4.51	4.63	4.7	7.25	10.65	11.47
6069	トレンダーズ	通信サービス	広告代理店	13870200	2.0	4.1	"-0.85
-1
-1
-1
8.99"	-0.85	-0.85	8.98	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9386	日本コンセプト	エネルギー	Oil & Gas Midstream	7467300	9.8	12.3	"0.89
2.61
5.26
8.69
8.72"	0.46	0.89	2.51	2.61	4.45	5.26	7.99	8.02	8.69
6067	メディアフラッグ			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3175	エー・ピーカンパニー	消費者循環	レストラン	12246900	0.8	2.2	"-1
-1
-1
-1
0.84"	0.74	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9201	日本航空（JAL）	産業	Airlines	123200	0.9	1.5	"-1
-1
-1
-1
14.77"	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6065	サクセスホールディングス			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3665	エニグモ	技術	ソフトウェア - インフラストラクチャ	154276000	2.0	11.7	"0.62
0.75
0.78
6.7
8.13"	0.18	0.62	0.64	0.75	0.76	0.78	6.63	6.65	6.7
9419	ワイヤレスゲート	通信サービス	電気通信サービス	103342400	0.5	13.6	"0.67
1.38
1.44
1.95
2.03"	0.52	0.67	1.32	1.38	1.42	1.44	1.48	1.48	1.95
6064	アクトコール			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3664	モブキャスト	通信サービス	電子ゲーム・マルチメディア	24817800	0.1	3.9	"0.77
-1
-1
-1
1.05"	0.74	0.77	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6618	大泉製作所			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3174	ハピネス・アンド・ディ	消費者循環	専門小売	5541600	1.3	2.5	"-1
-1
-1
-1
4.99"	0.36	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6063	日本エマージェンシーアシスタンス	ヘルスケア	医療施設	37735200	1.1	5.0	"0.07
3.82
-1
-1
3.82"	0.04	0.07	3.81	3.82	-1.0	-1.0	-1.0	-1.0	-1.0
2930	北の達人コーポレーション	消費者防衛	家庭用品・個人用品	20246400	5.3	33.8	"2.1
2.15
2.45
2.71
3.17"	2.07	2.1	2.14	2.15	2.44	2.45	2.71	2.71	2.71
6062	チャーム・ケア・コーポレーション	ヘルスケア	医療施設	143878400	23.8	34.8	"2.47
4.33
5.17
5.21
9.34"	2.41	2.47	4.27	4.33	4.44	5.17	5.18	5.21	5.21
6061	ユニバーサル園芸社	消費者循環	専門小売	6157200	11.6	17.1	"2.99
4.5
5.07
10.5
11.43"	0.92	2.99	4.08	4.5	4.93	5.07	9.93	10.1	10.5
6060	こころネット	消費者循環	個人サービス	1617300	1.7	2.8	"-1
-1
-1
-1
4.64"	0.64	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6059	ウチヤマホールディングス	ヘルスケア	医療施設	11248800	1.4	3.3	"0.92
-1
-1
-1
0.93"	0.79	0.92	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3662	エイチーム	通信サービス	インターネットコンテンツ・情報	25878600	1.9	11.4	"0.38
1.01
1.59
1.7
1.71"	0.34	0.38	0.4	1.01	1.59	1.59	1.59	1.62	1.7
6058	ベクトル	通信サービス	広告代理店	42708600	10.3	28.0	"0.77
1.42
3.02
3.62
6.17"	0.6	0.77	1.24	1.42	1.48	3.02	3.56	3.6	3.62
7157	ライフネット生命	金融サービス	保険 - 生命	29662500	2.7	2.8	"-1
-1
-1
-1
11.91"	7.64	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3661	エムアップ	通信サービス	インターネットコンテンツ・情報	169012800	21.7	25.7	"0.42
0.99
5.02
5.04
10.33"	-0.16	0.42	0.78	0.99	5.02	5.02	5.04	5.04	5.04
3173	大阪工機	産業	ツール・アクセサリー	2522000	5.0	6.2	"2.1
4.85
-1
-1
5.18"	1.72	2.1	2.55	4.85	4.97	-1.0	-1.0	-1.0	-1.0
3660	アイスタイル	消費者循環	インターネット小売	53592800	3.1	12.3	"3.18
3.45
3.54
5.68
5.78"	3.07	3.18	3.42	3.45	3.51	3.54	3.55	5.68	5.68
3172	ティーライフ	消費者循環	インターネット小売	1422800	3.9	5.0	"4.16
-1
-1
-1
10.91"	1.88	4.16	4.56	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3171	マックスバリュ九州			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6090	ヒューマンメタボロームテクノロジー	ヘルスケア	Diagnostics & Research	6130100	0.5	3.7	"-0.93
-1
-1
-1
-0.92"	-0.93	-0.93	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4245	ダイキアクシス	産業	廃棄物管理	12252400	3.3	6.7	"3.13
3.58
-1
-1
3.9"	0.67	3.13	3.24	3.58	3.85	-1.0	-1.0	-1.0	-1.0
6089	ウィルグループ	産業	人材派遣・雇用サービス	13976800	6.6	12.0	"1.21
2.86
3.28
3.51
3.71"	0.63	1.21	2.63	2.86	3.24	3.28	3.47	3.49	3.51
7167	足利ホールディングス	金融サービス	銀行 - 地域	254001900	2.4	2.4	"-1
-1
-1
-1
10.08"	9.57	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6086	シンプロメンテ	産業	専門ビジネスサービス	24021000	10.7	12.4	"3.16
3.28
3.79
4.07
9.57"	-0.27	3.16	3.26	3.28	3.76	3.79	3.91	3.99	4.07
6088	シグマクシス	産業	専門ビジネスサービス	527332800	10.3	10.9	"-0.81
-0.77
6.88
10.07
10.08"	-0.83	-0.81	-0.78	-0.77	3.48	6.88	6.9	8.88	10.07
3294	イーグランド	不動産	不動産サービス	21001200	3.8	4.3	"3.67
-1
-1
-1
9.99"	-0.4	3.67	7.46	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6087	アビスト	産業	特殊産業機械	6656800	4.3	6.6	"2.42
3.14
-1
-1
3.58"	1.47	2.42	2.54	3.14	3.53	-1.0	-1.0	-1.0	-1.0
6085	アーキテクツスタジオジャパン	産業	工学・建設	6153100	0.3	3.5	"-0.4
-1
-1
-1
-0.4"	-0.42	-0.4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3293	アズマハウス	不動産	不動産開発	10012200	1.6	1.7	"-1
-1
-1
-1
10.21"	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
1429	日本アクア	産業	工学・建設	134166000	2.4	3.3	"9.68
-1
-1
-1
10.22"	0.55	9.68	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3682	エンカレッジ・テクノロジ	技術	情報技術サービス	30038400	0.8	2.3	"-1
-1
-1
-1
-0.37"	-0.39	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6084	オウチーノ	Unknown	Unknown	3967400	1.9	3.8	"-0.93
-1
-1
-1
-0.93"	-0.93	-0.93	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3681	ブイキューブ	技術	ソフトウェア - アプリケーション	78295200	0.4	6.6	"-0.38
6.53
-1
-1
6.55"	-0.44	-0.38	6.41	6.53	6.54	-1.0	-1.0	-1.0	-1.0
3680	ホットリンク	技術	ソフトウェア - インフラストラクチャ	159866100	0.3	4.6	"-0.84
-1
-1
-1
-0.81"	-0.88	-0.84	-0.83	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4588	オンコリスバイオファーマ	ヘルスケア	バイオテクノロジー	15969900	1.2	7.7	"-0.45
-0.45
4.81
-1
4.81"	-0.45	-0.45	-0.45	-0.45	-0.45	4.81	-1.0	-1.0	-1.0
6082	ライドオンエクスプレス	消費者循環	インターネット小売	7821000	1.3	3.8	"1.69
-1
-1
-1
6.25"	-0.33	1.69	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6081	アライドアーキテクツ	通信サービス	インターネットコンテンツ・情報	52086000	0.5	5.2	"-0.97
-0.97
-1
-1
-0.87"	-0.97	-0.97	-0.97	-0.97	-1.0	-1.0	-1.0	-1.0	-1.0
3679	じげん	通信サービス	インターネットコンテンツ・情報	284565000	1.6	3.5	"3.67
-1
-1
-1
3.78"	-0.48	3.67	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3678	メディアドゥ	通信サービス	出版	44664000	0.7	4.7	"6.35
-1
-1
-1
6.58"	-0.22	6.35	6.47	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6080	M&Aキャピタルパートナーズ	金融サービス	資本市場	89400000	8.4	21.4	"1.02
2.63
2.88
3.55
7.61"	-0.34	1.02	2.28	2.63	2.85	2.88	2.99	3.01	3.55
3189	ANAP	消費者循環	衣料品小売	21714800	1.2	6.0	"-0.5
-0.5
-1
-1
-0.5"	-0.5	-0.5	-0.5	-0.5	-1.0	-1.0	-1.0	-1.0	-1.0
3677	システム情報			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6079	エナリス			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6078	バリューHR	ヘルスケア	健康情報サービス	213721600	17.5	17.6	"3.11
3.54
5.18
7.67
10.67"	-0.44	3.11	3.5	3.54	3.75	5.18	5.34	6.94	7.67
5698	エンビプロ・ホールディングス	産業	廃棄物管理	25578000	4.2	12.5	"3.49
3.68
7.24
7.4
7.46"	3.27	3.49	3.59	3.68	7.15	7.24	7.33	7.37	7.4
3288	オープンハウス	不動産	不動産 - 多様化	188867600	19.1	22.6	"1.53
3.3
3.78
5.79
7.75"	1.1	1.53	2.32	3.3	3.74	3.78	3.85	3.95	5.79
3187	サンワカンパニー	消費者循環	インターネット小売	28349500	0.9	3.4	"0.32
-1
-1
-1
0.32"	0.26	0.32	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6077	N・フィールド			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6076	アメイズ			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3186	ネクステージ	消費者循環	自動車・トラック販売	39616200	22.9	57.0	"2.67
3.01
3.18
3.74
9.55"	1.18	2.67	2.78	3.01	3.09	3.18	3.52	3.53	3.74
3185	夢展望	消費者循環	インターネット小売	11829000	0.4	6.2	"-0.87
-0.87
-1
-1
-0.87"	-0.87	-0.87	-0.87	-0.87	-0.87	-1.0	-1.0	-1.0	-1.0
6075	フォトクリエイト			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
2587	サントリー食品インターナショナル	消費者防衛	Beverages - Non-Alcoholic	173006600	1.9	2.2	"-1
-1
-1
-1
10.73"	9.61	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3184	ICDAホールディングス	消費者循環	自動車・トラック販売	1600700	2.5	2.7	"-1
-1
-1
-1
10.12"	7.11	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6074	ジェイエスエス	消費者循環	レジャー	6303200	1.9	4.8	"3.07
-1
-1
-1
3.97"	2.9	3.07	3.7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4978	リプロセル	ヘルスケア	バイオテクノロジー	246151900	0.2	5.6	"-0.9
-0.89
-1
-1
-0.89"	-0.9	-0.9	-0.9	-0.89	-1.0	-1.0	-1.0	-1.0	-1.0
6248	横田製作所	産業	特殊産業機械	6266700	2.2	2.8	"-1
-1
-1
-1
-0.21"	-0.21	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4587	ペプチドリーム	ヘルスケア	バイオテクノロジー	458478400	3.9	9.9	"-0.55
1.86
3.7
-1
6.73"	-0.93	-0.55	1.82	1.86	3.61	3.7	3.8	4.92	-1.0
3674	オークファン	通信サービス	インターネットコンテンツ・情報	141075500	0.2	4.0	"-0.08
-1
-1
-1
-0.07"	-0.1	-0.08	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
1420	サンヨーホームズ	消費者循環	住宅建設	10836700	1.6	2.5	"-1
-1
-1
-1
4.39"	3.92	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
1419	タマホーム	消費者循環	住宅建設	47191400	6.9	8.6	"5.64
7.33
9.2
-1
10.34"	-0.98	5.64	7.11	7.33	8.95	9.2	10.03	-1.0	-1.0
3673	ブロードリーフ	技術	ソフトウェア - アプリケーション	302077600	2.5	2.9	"-1
-1
-1
-1
5.51"	0.13	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6073	アサンテ	消費者循環	住宅建設	14232600	2.9	3.4	"4.95
-1
-1
-1
5.3"	1.91	4.95	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7215	ファルテック	消費者循環	Auto Parts	13593900	0.5	1.6	"-1
-1
-1
-1
-0.25"	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
2588	ウォーターダイレクト	公共事業	Utilities - Regulated Water	13015954	6.1	8.4	"4.7
6.61
6.74
-1
6.87"	-0.61	4.7	5.61	6.61	6.73	6.74	6.81	-1.0	-1.0
9025	鴻池運輸	産業	統合貨物・物流	75507600	5.8	5.9	"4.32
11.05
-1
-1
11.46"	1.56	4.32	10.22	11.05	-1.0	-1.0	-1.0	-1.0	-1.0
3672	オルトプラス	通信サービス	電子ゲーム・マルチメディア	61606800	0.1	5.7	"0.08
0.1
-1
-1
0.1"	0.07	0.08	0.09	0.1	-1.0	-1.0	-1.0	-1.0	-1.0
3182	オイシックス	消費者循環	インターネット小売	72712400	3.0	9.7	"-0.9
6.35
6.35
-1
7.45"	-0.93	-0.9	4.64	6.35	6.35	6.35	7.22	7.43	-1.0
3671	ソフトマックス	ヘルスケア	健康情報サービス	17949300	1.3	2.7	"-1
-1
-1
-1
6.7"	-0.75	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3670	協立情報通信	技術	情報技術サービス	3869600	1.2	3.0	"-0.96
-1
-1
-1
-0.96"	-0.96	-0.96	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
