コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
7172	ジャパンインベストメントアドバイザー	産業	レンタルおよびリースサービス	618350099	4.6	13.8	"1.48
2.46
3.24
3.42
3.65"
6097	日本ビューホテル			-1			
3689	イグニス			-1			
3193	鳥貴族	消費者循環	レストラン	53365800	3.5	5.2	"0.89
9.62
None
None
9.63"
3688	ＶＯＹＡＧＥＧＲＯＵＰ	通信サービス	インターネットコンテンツ・情報	47837800	0.8	1.9	"None
None
None
None
-0.99"
6096	レアジョブ	消費者防衛	教育・訓練サービス	32825600	0.9	6.2	"4.3
4.4
None
None
4.43"
6095	メドピア	ヘルスケア	健康情報サービス	89179000	0.8	13.3	"5.39
5.9
6.01
6.28
6.38"
4247	ポバール興業	基礎材料	特殊化学品	127100	1.3	1.5	"None
None
None
None
1.74"
4979	ＯＡＴアグリオ	基礎材料	Agricultural Inputs	9052400	5.3	5.6	"3.1
7.87
None
None
9.97"
6094	フリークアウト	通信サービス	広告代理店	43907600	0.6	4.3	"-0.85
None
None
None
2.12"
3299	ムゲンエステート	不動産	不動産開発	68402000	5.5	5.5	"0.51
10.1
None
None
10.12"
7169	ニュートン・フィナンシャル・コンサルティング			-1			
3297	東武住販	不動産	不動産サービス	3584200	3.0	4.9	"2.58
None
None
None
3.51"
3192	白鳩	消費者循環	インターネット小売	7260700	0.6	2.5	"None
None
None
None
3.61"
9024	西武ホールディングス	産業	コングロマリット	93618600	2.2	2.5	"None
None
None
None
10.41"
3687	フィックスターズ	技術	ソフトウェア - アプリケーション	488175000	6.5	9.2	"0.14
3.72
5.12
None
9.92"
3191	ジョイフル本田	消費者循環	Home Improvement Retail	67479200	3.2	4.0	"4.06
None
None
None
9.98"
9090	丸和運輸機関	産業	統合貨物・物流	14608000	10.2	21.3	"3.53
3.85
4.54
19.31
20.73"
6616	トレックス・セミコンダクター	技術	半導体	12933200	2.2	6.1	"0.39
7.16
None
None
7.54"
6093	エスクロー・エージェント・ジャパン	産業	専門ビジネスサービス	352230000	2.0	9.7	"0.27
0.28
3.14
None
3.28"
3686	ディー・エル・イー	通信サービス	娯楽	267727800	0.2	2.1	"None
None
None
None
0.04"
7779	CYBERDYNE	ヘルスケア	Medical Devices	1262146000	0.4	5.1	"0.19
2.04
None
None
2.04"
3685	みんなのウェディング	Unknown	Unknown	5606400	1.0	4.1	"-0.96
None
None
None
-0.96"
3190	ホットマン	消費者循環	Textile Manufacturing	18857400	1.6	2.0	"None
None
None
None
3.7"
6740	ジャパンディスプレイ	技術	電子部品	711475500	0.1	2.6	"None
None
None
None
-0.53"
6810	日立マクセル	技術	コンシューマーエレクトロニクス	19658600	4.4	5.2	"1.37
8.99
None
None
9.01"
4246	ダイキョーニシカワ	消費者循環	Auto Parts	50136800	2.4	6.4	"1.27
1.64
None
None
1.75"
6092	エンバイオ・ホールディングス	産業	専門ビジネスサービス	81348800	1.3	5.5	"-0.9
2.95
None
None
2.97"
9414	日本ＢＳ放送	通信サービス	Broadcasting	13743000	1.3	1.9	"None
None
None
None
4.13"
3683	サイバーリンクス	技術	ソフトウェア - インフラストラクチャ	78654600	1.7	8.1	"6.37
6.5
6.53
None
6.54"
4589	アキュセラ・インク			-1			
