code	company_name
3011	株式会社バナーズ
3591	株式会社ワコールホールディングス
3580	小松マテーレ株式会社
8011	株式会社三陽商会
8127	ヤマトインターナショナル株式会社
8114	株式会社デサント
8111	株式会社ゴールドウイン
8029	株式会社ルックホールディングス
8143	株式会社ラピーヌ
3597	株式会社自重堂
9980	ＭＲＫホールディングス株式会社
3600	株式会社フジックス
3604	川本産業株式会社
3607	株式会社クラウディアホールディングス
7898	株式会社ウッドワン
7822	永大産業株式会社
7897	ホクシン株式会社
7896	セブン工業株式会社
7887	南海プライウッド株式会社
7879	株式会社ノダ
7827	株式会社オービス
7820	ニホンフラッシュ株式会社
3861	王子ホールディングス株式会社
3864	三菱製紙株式会社
3865	北越コーポレーション株式会社
3877	中越パルプ工業株式会社
3878	株式会社巴川コーポレーション
7919	野崎印刷紙業株式会社
3941	レンゴー株式会社
3880	大王製紙株式会社
3944	古林紙工株式会社
7975	株式会社リヒトラブ
3947	ダイナパック株式会社
3946	株式会社トーモク
7984	コクヨ株式会社
3950	ザ・パック株式会社
3945	スーパーバッグ株式会社
3943	大石産業株式会社
8113	ユニ・チャーム株式会社
7987	ナカバヤシ株式会社
3952	中央紙器工業株式会社
3953	大村紙業株式会社
3891	ニッポン高度紙工業株式会社
3954	昭和パックス株式会社
3892	株式会社岡山製紙
3955	株式会社イムラ
3895	ハビックス株式会社
3708	特種東海製紙株式会社
7911	ＴＯＰＰＡＮホールディングス株式会社
7912	大日本印刷株式会社
7914	共同印刷株式会社
7916	光村印刷株式会社
7915	ＮＩＳＳＨＡ株式会社
7918	株式会社ヴィア・ホールディングス
9470	株式会社学研ホールディングス
3948	光ビジネスフォーム株式会社
9471	株式会社文溪堂
7921	株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ
7946	株式会社光陽社
7922	三光産業株式会社
7923	トーイン株式会社
3951	朝日印刷株式会社
7901	株式会社マツモト
7893	株式会社プロネクサス
9474	株式会社ゼンリン
7883	サンメッセ株式会社
7875	竹田ｉＰホールディングス株式会社
9475	株式会社昭文社ホールディングス
7870	福島印刷株式会社
9476	株式会社中央経済社ホールディングス
7868	株式会社広済堂ホールディングス
7864	株式会社フジシールインターナショナル
9478	ＳＥホールディングス・アンド・インキュベーションズ株式会社
7857	セキ株式会社
9479	株式会社インプレスホールディングス
7863	株式会社平賀
7850	総合商研株式会社
7849	スターツ出版株式会社
2376	株式会社　サイネックス
2388	株式会社ウェッジホールディングス
7831	株式会社ウイルコホールディングス
4004	株式会社レゾナック・ホールディングス
4005	住友化学株式会社
4008	住友精化株式会社
4021	日産化学株式会社
4022	ラサ工業株式会社
4023	株式会社クレハ
4025	多木化学株式会社
4026	神島化学工業株式会社
4027	テイカ株式会社
4028	石原産業株式会社
4041	日本曹達株式会社
4042	東ソー株式会社
4043	株式会社トクヤマ
4044	セントラル硝子株式会社
4045	東亞合成株式会社
4046	株式会社大阪ソーダ
4047	関東電化工業株式会社
4061	デンカ株式会社
4062	イビデン株式会社
4063	信越化学工業株式会社
4064	日本カーバイド工業株式会社
4078	堺化学工業株式会社
4097	高圧ガス工業株式会社
4091	日本酸素ホールディングス株式会社
4092	日本化学工業株式会社
4094	日本化学産業株式会社
4093	東邦アセチレン株式会社
4031	片倉コープアグリ株式会社
4102	丸尾カルシウム株式会社
4088	エア・ウォーター株式会社
6137	小池酸素工業株式会社
4098	チタン工業株式会社
4462	石原ケミカル株式会社
4109	ステラケミファ株式会社
4082	第一稀元素化学工業株式会社
4188	三菱ケミカルグループ株式会社
4112	保土谷化学工業株式会社
4113	田岡化学工業株式会社
4114	株式会社日本触媒
4182	三菱瓦斯化学株式会社
4151	協和キリン株式会社
4202	株式会社ダイセル
4203	住友ベークライト株式会社
4204	積水化学工業株式会社
4205	日本ゼオン株式会社
