shareholder_notes
執行役、子会社役員
取締役兼代表執行役CEO
取締役兼専務執行役CFO、子会社役員
常務執行役、子会社役員
執行役
常務執行役CSO
取締役ファウンダー
社外取締役
取締役管理部管掌
代表取締役会長の二男、取締役
代表取締役社長、関係会社の代表取締役
取締役、関係会社の取締役
従業員、関係会社の代表取締役
ﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ(ﾌｧﾝﾄﾞ)、親会社
代表取締役会長執行役員
子会社の執行役員
執行役員CFO
子会社の従業員
執行役員CIO
取締役ﾏｰｹﾃｨﾝｸﾞ本部長CMO
取締役執行社長COO
ﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ(ﾌｧﾝﾄﾞ)、その他の関係会社の子会社
取締役CFO兼執行役員
代表取締役社長CEO、子会社取締役
ベンチャーキャピタル（ファンド）、その他の関係会社の子会社
専務取締役グループCFO、子会社取締役
取締役会長が議決権の過半数を所有する会社
取締役副会長が議決権の過半数を所有する会社
取締役、親会社の代表取締役社長
取締役副会長
取締役副社長、子会社の取締役
その他の関係会社、取引先の親会社
社長が議決権の過半数を所有する会社
専務取締役、代表取締役社長の長男
従業員、代表取締役社長と専務取締役の血族
代表取締役社長と専務取締役の血族
代表取締役社長、専務取締役の血族
常務取締役、代表取締役社長の実姉
従業員、子会社の代表取締役社長、子会社の取締役
社長の配偶者が議決権の過半数を持つ会社
常務取締役、代表取締役社長の血族
代表取締役の親族企業
代表取締役社長、子会社の代表取締役社長、子会社の取締役
社外協力者
代表取締役社長の資産管理会社
専務取締役、代表取締役社長の弟
専務取締役の資産管理会社
代表取締役社長の血族、創業者
その他の関係会社、ベンチャーキャピタル
取締役兼代表執行役社長、CEO、COO
代表取締役社長、取締役の配偶者、関係会社の役員
従業員、代表取締役社長と取締役の血族
常務取締役執行役員、代表取締役社長の長男
従業員、執行役員
取締役副社長、子会社代表取締役社長、子会社取締役
常務取締役、子会社取締役
取締役、子会社代表取締役社長、子会社取締役
代表取締役社長、資本的関係会社の役員
取締役、資本的関係会社の役員
代表取締役社長の配偶者、資本的関係会社の役員
代表取締役会長の配偶者
代表取締役社長の近親者
従業員および内定者
代表取締役が議決権の過半数を持つ会社
代表取締役社長の血族、取締役、子会社取締役
取締役常務執行役員、子会社取締役
取締役執行役員、子会社取締役
取締役（監査等委員）
黒越誠治氏の資産管理会社
上席執行役員
代表取締役社長の血族（相続手続き中）
代表取締役社長と常務取締役の血族
代表取締役社長、子会社の代表取締役
代表取締役社長の血族3名による信託
役員と近親者が議決権の過半数を所有する会社
代表取締役兼執行役員社長
取締役兼執行役員
代表取締役兼執行役員会長
取締役兼執行役員副社長
取締役兼執行役員CFO
代表取締役社長の血族、取締役会長
代表取締役社長の血族、代表取締役副会長
代表取締役社長の血族、常務取締役
代表取締役COO、子会社取締役
旧会社の創業者
代表取締役執行役員社長、子会社の取締役
取締役執行役員常務
代表取締役の血族で従業員の舟橋清光氏の信託財産
取締役CGO
取締役会長、親会社の取締役会議長
上級執行役員CTO、子会社の取締役
取締役CSMO
上級執行役員
専務取締役執行役員、代表取締役の血族
取締役監査等委員
代表取締役社長の血族、代表取締役
従業員（執行役員）
代表取締役社長最高執行役員
取締役副社長執行役員
専務取締役、代表取締役の配偶者
代表取締役の資産管理会社
代表取締役社長、取締役会長の血族など
取締役会長、取締役副会長の血族など
取締役副会長、取締役会長の血族など
取締役会長と取締役副会長の血族
取締役会長の配偶者
取締役の血族、従業員など
取締役副社長COO
役員らが議決権の過半数を所有する会社、親会社
親会社、代表取締役やその配偶者と血族により議決権の過半数を所有する会社
完全子会社
常務取締役、子会社の取締役
専務取締役、子会社の取締役
親会社の持ち分法適用関連会社
取締役、代表取締役社長の弟
代表取締役社長とその血族が議決権の過半数を持つ会社
取締役副社長、関係会社の役員
取締役（監査等委員）、子会社の取締役
専務取締役の血族
子会社の代表取締役
代表取締役会長兼社長CEO兼COO
常務取締役CSO
執行役員副社長
代表取締役社長の配偶者、取締役副社長
取引先、金融商品取引業者
取締役会長、代表取締役社長の血族
代表取締役社長、取締役会長の長男
代表取締役社長の血族、取締役会長の配偶者
代表取締役社長CEO、子会社の取締役
CEO兼取締役社長
CTO
独立取締役
代表取締役会長CEO
代表取締役社長COO
従業員、役員の血族
代表取締役副社長、代表取締役社長の配偶者
顧問税理士
子会社の取締役、従業員
従業員、子会社役員
代表取締役社長、子会社代表取締役、子会社取締役
取締役、子会社代表取締役、子会社取締役
子会社元執行役員
子会社の取締役、執行役員
取引先の関係会社
専務取締役、代表取締役会長の長男
親会社、ベンチャーキャピタル（ファンド）
取締役兼代表執行役ｸﾞﾛｰﾊﾞﾙCEO、子会社役員
資産管理会社
従業員（子会社含む）
執行役ｸﾞﾛｰﾊﾞﾙCTO
執行役ｸﾞﾛｰﾊﾞﾙCFO
執行役ｸﾞﾛｰﾊﾞﾙCOO
取締役常務執行役員、代表取締役社長の血族
代表取締役副社長執行役員
代表取締役社長の配偶者、子会社取締役・監査役
取引先、資本業務提先
業務協力先
関係会社の役員
取締役副社長、子会社の代表取締役
従業員、代表取締役社長の配偶者
取締役、子会社の代表取締役
代表取締役社長の財産管理会社
取締役執行役員CPO
代表取締役会長の血族、従業員
代表取締役社長、取締役会長の血族
取締役会長の血族
その他の関係会社の代表取締役社長
代表取締役会長兼社長など
代表取締役社長CEO、子会社の代表取締役
代表取締役副社長COO、子会社の取締役
代表取締役副社長CFO、子会社の取締役
取締役副社長CMO、子会社の取締役
監査役、子会社の監査役
取締役CFO、CAO
専務取締役COO、代表取締役の血族、子会社の取締役
取締役CFO、子会社の取締役
取締役執行役員CCO、子会社の取締役
代表取締役社長執行役員兼CEO
代表取締役副社長執行役員兼COO
代表取締役副社長執行役員兼CTO
取締役専務執行役員兼CFO
専務執行役員
専務執行役員兼CHRO/CCO
創業者の資産管理会社
取締役、監査役
役員らが議決権の過半数所有
投資業(ﾌｧﾝﾄﾞ)
取締役最高管理責任者
常務取締役、関係会社の役員
資本業務提携先、取引先
代表取締役会長、子会社の代表取締役
単独運用・特定金外信託を受託した顧問税理士
上席取締役CFO、子会社の取締役
ベンチャーキャピタル（ファンド）、議決権のない優先株主
グループ常務執行役員、子会社社長
従業員、常務執行役員
代表取締役社長が委託した信託財産
取締役執行役員、子会社の代表取締役
取締役執行役員、子会社の取締役
代表取締役執行役員会長兼社長
取締役執行役員副会長、子会社の取締役
子会社の代表取締役、子会社の取締役
ベンチャーキャピタル（ファンド）、その他の関係会社
取締役、子会社の代表取締役社長、代表取締役の血族
専務取締役、子会社の代表取締役
取締役執行役員専務
ベンチャーキャピタル（ファンド）、資本的関係会社
新株予約権の受託者
専務取締役CFO
新株予約権信託の受託者
取締役、最高財務責任者、子会社の取締役
ベンチャーキャピタル（ファンド）、取引先の子会社
代表取締役会長兼CEO、子会社代表取締役
役員の血族が議決権の過半数を所有する会社
親会社、ﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ(ﾌｧﾝﾄﾞ)
代表取締役COO
取締役、子会社代表取締役
従業員、子会社の監査役
専務取締役、代表取締役社長の配偶者
代表取締役会長、代表取締役社長の血族
代表取締役社長の血族、子会社の代表取締役社長
代表取締役社長の親族が保有する資産管理会社
取締役、関係会社の役員
代表取締役社長、子会社の代表取締役・取締役
常務取締役執行役員、子会社の取締役
代表取締役社長、子会社の取締役、子会社の理事
取締役COO、子会社の取締役
従業員、子会社の取締役、子会社の理事
取締役CFO、子会社の取締役、子会社の理事
監査役、子会社の監査役、子会社の監事
執行役員、子会社の取締役
親会社、資本的関係会社
代表取締役社長、子会社の代表取締役社長、資本的関係会社の取締役
代表取締役社長の親族
顧問税理士（新株予約権の受託者）
代表取締役社長の配偶者、取締役
代表取締役社長CEO、執行役員、子会社の取締役
執行役員副社長CFO、子会社の取締役
執行役員COO
執行役員会長
執行役員CHRO
代表取締役（医師）
代表取締役社長兼社長執行役員
取締役CSO
スポンサー
代表取締役の配偶者、取締役
山川雅之氏の近親者が過半数の株式を有する会社
代表取締役CEO、子会社の代表取締役
代表取締役社長の配偶者らが議決権の過半数を所有する会社
取締役兼副社長執行役員COO
代表取締役兼社長執行役員CEO兼CTO
専務取締役、代表取締役社長の血族
塩野義製薬(株)の受託者
代表取締役CCO
取締役の血族の信託財産
取締役CSO、子会社の代表取締役
代表取締役社長、代表取締役会長の次女の配偶者
取締役専務
監査等委員である取締役
親会社取締役の資産管理会社
金融商品取引業者など
専務取締役執行役員
代表取締役の血族が代表取締役の会社
特別利害関係者など(相続手続き中)
代表取締役社長の血族、常務取締役の配偶者
取締役(監査等委員)
代表取締役の親族の資産管理会社
代表取締役副社長、子会社代表取締役、代表取締役社長の血族
代表取締役社長、子会社代表取締役
顧問税理士(特定金外信託の受託者)
子会社取締役、従業員
専務取締役専務執行役員、取締役会長の血族
常務取締役常務執行役員
取締役、関連会社の取締役
資本業務提携先の子会社
取締役会長など
顧問税理士、新株予約権信託の受託者
スポンサーが50％出資
地域金融機関
帝国ﾃﾞｰﾀﾊﾞﾝｸのｸﾞﾙｰﾌﾟ管理会社
代表取締役副社長の血族
執行役員、代表取締役の血族
上席執行役員兼CFO
代表取締役CEOなど
時価発行新株予約権信託の受託者
代表取締役兼執行役員
代表取締役社長、代表取締役会長の血族
代表取締役会長・社長の血族
取締役副会長など
取締役副社長執行役員など
取締役常務執行役員など
専務取締役執行役員COO
代表取締役社長上席執行役員など
上席執行役員など
取締役上席執行役員など
子会社従業員
ﾏｽﾀｰ･ﾌﾗﾝﾁｬｲｻﾞｰの子会社
大熊章太(取締役会長の血族)信託分
大熊絢子(取締役会長の血族)信託分
代表取締役副会長
専務取締役など、代表取締役社長の血族
常務取締役など
取締役など
代表取締役社長CEOの血族
元監査等委員
常務取締役執行役員、代表取締役社長の血族
取締役会長執行役員、子会社の取締役　会長執行役員
副会長執行役員、子会社の従業員
代表取締役社長執行役員、子会社の代表取締役社長
副社長執行役員、子会社の取締役
子会社の取締役、子会社の執行役員
ベンチャーキャピタル（ファンド）、金融商品取引業者などの人的・資本的関係会社
取締役兼CMO
執行役員、関係会社の代表取締役
新株予約権受託者
代表取締役、子会社の取締役
代表取締役の配偶者、従業員
取締役が議決権の過半数を所有する会社の役員
代表取締役社長など
代表取締役会長など
取締役、創業者の近親者
取締役の資産管理会社
代表取締役社長の財産保全会社
代表取締役社長の血族、取締役兼執行役員
創業者の親族
代表取締役社長兼ｸﾞﾙｰﾌﾟCEO、子会社の取締役
取締役兼CFO、子会社の取締役
取締役兼CSO、子会社の取締役
取締役副社長、代表取締役社長の配偶者
代表取締役の血族、関係会社の役員
専務取締役など
取締役ＣＴＯ
代表取締役社長(兼)社長執行役員など
取締役(兼)常務執行役員など
取締役(兼)執行役員
取締役(兼)執行役員など
特許権実施許諾など事業提携先
従業員（AIエンジニアリングフェロー）
取締役ＣＯＯ
代表取締役社長執行役員など
代表取締役社長の血族、子会社の取締役
その他の関係会社の子会社
取締役ＣＦＯ
事業共同考案者
取締役CISO
代表取締役社長CEOなど
取締役CFOなど
執行役員、子会社の代表取締役社長
取締役西日本支社長
包括的信託契約の受託者
取締役CDSO
取締役副社長、社長の配偶者
代表取締役CEOの資産管理会社
協力会社
共同創業者
取締役執行役員COO
取締役執行役員CFO
取締役CFO、子会社の代表取締役
取引先の親会社
取締役の親族
代表取締役副社長COOなど
執行役員、子会社取締役および監査役
子会社の取締役および監査役
代表取締役社長(資産管理会社分含む)
ｱｲﾌﾙ会長一族の資産管理会社
取締役最高戦略責任者
子会社の取締役など
グループの従業員
取締役会長の親族らが経営する会社
高盛豊文氏の資産管理会社
エンゼル投資家
小川武重氏またはその親族の資産管理会社
創業時の代表取締役
代表取締役会長の資産管理会社
取締役CPO
代表取締役社長が議決権の過半数を所有
取締役、執行役員など
取締役、執行役員
取締役執行役員CMO
最高経営責任者（CEO）
CEOの配偶者である役員が全株保有
ｱﾐｭｰｽﾞｷｬﾋﾟﾀﾙの代表取締役会長
委任契約先
従業員、子会社取締役
執行役員など
委任契約先、子会社従業員
顧問弁護士、新株予約権信託の受託者
取締役の配偶者、従業員
代表取締役社長(間接保有含む)
業務提携先の親会社
取締役事業執行役員
取締役業務執行役員COO
代表取締役会長が議決権の過半数を所有する会社
金融商品取引業者の資本的関係会社
ベンチャーキャピタル（ファンド）、金融商品取引業者の資本的関係会社
代表取締役社長、代表取締役会長の実子
取締役副社長兼執行役員
代表取締役社長(CEO)
執行役員CTO
太田卓利氏の資産管理会社
代表取締役など
従業員、関係会社取締役
子会社の代表取締役、ｸﾞﾙｰﾌﾟCTO
専務上級執行役員
ｾﾚｽ代表取締役社長の資産管理会社
取締役の血族、従業員
取締役執行役員CFOなど
代表取締役社長、会長の長男など
取締役副社長、会長の二男など
従業員、関係会社の取締役
取引先の代表取締役社長
従業員、新株予約権信託の受託者
執行役員CTOなど
代表取締役社長兼執行役員CEO
吸収合併した子会社の元株主
諸藤周平社外取締役が代表取締役を務める会社
取締役CCOなど
代表取締役会長兼CEO
代表取締役社長兼COO
取締役副社長など
代表取締役会長兼社長兼CEO
その他の関係会社、ﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ
代表取締役社長が全株所有
取締役、代表取締役CEOの血族
取締役CIRO
事業譲り受け元
代表取締役会長兼社長の資産管理会社
代表取締役会長兼社長の配偶者
常務取締役、代表取締役会長兼社長の子息
代表取締役会長兼社長の子息
取締役執行役員、代表取締役の実妹
代表取締役社長が所有する会社
岩田匡平氏が実質的に支配
福原聖子氏の資産管理会社
執行役員、子会社の代表取締役
代表取締役社長（CEO）
取締役（CTO）
代表取締役社長の血族およびその配偶者
代表取締役副社長、代表取締役社長の血族
代表取締役社長の合算対象
常務取締役、代表取締役会長兼社長の血族
取締役副社長、代表取締役会長兼社長の血族など
代表取締役会長兼社長の血族
執行役員CHO
執行役員D.COO
執行役員CQO
執行役員CAO
取引先の統括会社
代表取締役CFO
ベンチャーキャピタル（ファンド）、親会社
代表取締役社長の血族、執行役員
関係会社代表取締役
顧問先
取締役(監査等委員)など
子会社の取締役、ｺﾗﾎﾞﾚｰﾄﾊﾟｰﾄﾅｰなど
代表取締役の血族、取締役副社長執行役員
代表取締役副社長COO
取締役が代表取締役の会社
取締役執行役員CWO
親会社、投資業(ﾌｧﾝﾄﾞ)
専務執行役員など
常務執行役員など
代表取締役会長が全議決権を掌握
代表取締役社長が代表理事を兼務
代表取締役の甥
三好修が代表取締役の会社
子会社の代表取締役の資産管理会社
代表取締役副社長兼COO
代表取締役の血族、子会社の取締役
代表取締役の従兄弟
取締役(監査等委員)、代表取締役の従妹
創業者一族
取締役ﾊﾟｰﾄﾅｰなど
代表取締役ﾊﾟｰﾄﾅｰなど
従業員(子会社含む)
子会社の代表取締役など
ﾗｲｾﾝｽ契約先
従業員、CSO
代表取締役COO兼CTO
取締役CAO
資本提携先の三井化学が出資
資本提携先のｾﾞﾝﾘﾝが出資
代表取締役が出資するﾌｧﾝﾄﾞ
ﾐﾀﾞｽｷｬﾋﾟﾀﾙが過半数出資
ｷﾞﾌﾄHD社長の資産管理会社
代表取締役社長の親権者である吉本愛子の信託分
代表取締役の血族である関家憲二郎と関家多美子の信託分
取締役副社長CDO
従業員(内部監査責任者)
取締役兼執行役員COO/CTO
取締役が所有する会社
取締役執行役員CHRO
取締役執行役員CEO
取締役執行役員など
荻原弘子氏の資産管理会社
荻原弘子氏とその親族が全議決権所有
その他の関係会社、共同研究開発先
協業先
代表取締役社長最高経営責任者
代表取締役執行役員社長CEO
業務委託者
業務提携先の子会社
社長が議決権の過半数所有
代表取締役社長、専務の血族
代表取締役専務、社長の血族
ﾊﾟｰﾄﾅｰ契約先
取引先代表
元社外取締役
ﾃﾞｻﾞｲﾝﾌﾟﾗｸﾃｨｽﾘｰﾄﾞ
ｸﾞﾙｰﾌﾟ機能責任者(法務)
取締役(常勤監査等委員)
親会社、役員らが議決権の過半数所有
須貝信の資産管理会社か
須貝信の親族か
取締役、創業者
資本業務提携先のﾌｧﾝﾄﾞ
共同開発先
代表取締役代表ﾊﾟｰﾄﾅｰ兼上級執行役員
代表取締役社長兼上級執行役員
専務取締役COO
子会社の常務執行役員
常務執行役員
子会社の取締役常務執行役員
正副社長の資産管理会社
取締役副社長、代表取締役の実弟
取締役会長、代表取締役の血族
同社または子会社の従業員
久野栄太の資産管理会社
ｴﾝｾﾞﾙ
資本業務提携先の運営ﾌｧﾝﾄﾞ
社長知人
代表取締役Founder
取締役、代表取締役の配偶者
共同研究・ﾗｲｾﾝｽ契約先
代表取締役社長の実質保有会社
神山周市の資産管理会社
監査役など
子会社執行役員
執行役員、子会社取締役
松井信博らの資産管理会社
代表取締役社長兼CEOなど
投資業(ﾌｧﾝﾄﾞ)、前沢友作の資産管理会社
取締役兼COOなど
取締役会長、代表取締役の父
代表取締役の血族、従業員
代表取締役の血族、取締役の配偶者、従業員
取締役兼専務執行役員
取締役兼上席執行役員
顧問弁護士
ｴﾝｾﾞﾙ投資家
ﾍﾞｸﾄﾙ会長兼社長
ｼﾞｬｽﾄｼｽﾃﾑ創業者
常務取締役COO
常務取締役CTO
資本業務提携先、投資業(ﾌｧﾝﾄﾞ)
従業員、元常務取締役
金融商品取引業者などの役員
研究顧問
