日付	コード	企業名	iXBRLのURL	タイトル	PDFのURL
2023-05-12	3774	3774	/disc/37740/081220230508559609_tse-acedifsm-37740-20230508559609-ixbrl.htm	2023年3月期 決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120230508559609.pdf
2023-02-08	3774	3774	/disc/37740/081220230203500316_tse-qcedifsm-37740-20230203500316-ixbrl.htm	2023年3月期　第3四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120230203500316.pdf
2022-11-07	3774	3774	/disc/37740/081220221102555880_tse-qcedifsm-37740-20221102555880-ixbrl.htm	2023年3月期　第2四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120221102555880.pdf
2022-08-05	3774	3774	/disc/37740/081220220803510748_tse-qcedifsm-37740-20220803510748-ixbrl.htm	2023年3月期　第1四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120220803510748.pdf
2022-05-13	3774	3774	/disc/37740/081220220511541058_tse-acedifsm-37740-20220511541058-ixbrl.htm	2022年3月期　決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120220511541058.pdf
2022-02-08	3774	3774	/disc/37740/081220220204580576_tse-qcedifsm-37740-20220204580576-ixbrl.htm	2022年3月期　第3四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120220204580576.pdf
2021-11-05	3774	3774	/disc/37740/081220211102423714_tse-qcedifsm-37740-20211102423714-ixbrl.htm	2022年3月期　第2四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120211102423714.pdf
2021-08-10	3774	3774	/disc/37740/081220210729473747_tse-qcedifsm-37740-20210729473747-ixbrl.htm	2022年3月期 第1四半期決算短信〔IFRS〕(連結)	/disc/37740/140120210729473747.pdf
2021-05-12	3774	3774	/disc/37740/081220210511411323_tse-acedifsm-37740-20210511411323-ixbrl.htm	2021年3月期　決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120210511411323.pdf
2021-02-08	3774	3774	/disc/37740/081220210205457316_tse-qcedifsm-37740-20210205457316-ixbrl.htm	2021年3月期　第3四半期決算短信〔IFRS〕(連結)	/disc/37740/140120210205457316.pdf
2020-11-09	3774	3774	/disc/37740/081220201106417929_tse-qcedifsm-37740-20201106417929-ixbrl.htm	2021年3月期 第2四半期決算短信〔IFRS〕(連結)	/disc/37740/140120201106417929.pdf
2020-08-07	3774	3774	/disc/37740/081220200806476839_tse-qcedifsm-37740-20200806476839-ixbrl.htm	2021年3月期 第1四半期決算短信〔IFRS〕(連結)	/disc/37740/140120200806476839.pdf
2020-05-14	3774	3774	/disc/37740/081220200512411223_tse-acedifsm-37740-20200512411223-ixbrl.htm	2020年3月期　決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120200512411223.pdf
2020-02-07	3774	3774	/disc/37740/081220200206459082_tse-qcedifsm-37740-20200206459082-ixbrl.htm	2020年3月期 第3四半期決算短信〔IFRS〕（連結）	/disc/37740/140120200206459082.pdf
2019-11-08	3774	3774	/disc/37740/081220191107421458_tse-qcedifsm-37740-20191107421458-ixbrl.htm	2020年3月期 第2四半期決算短信〔IFRS〕（連結）	/disc/37740/140120191107421458.pdf
2019-08-07	3774	3774	/disc/37740/081220190801481126_tse-qcedifsm-37740-20190801481126-ixbrl.htm	2020年3月期 第1四半期決算短信〔IFRS〕(連結)	/disc/37740/140120190801481126.pdf
2019-06-28	3774	3774	/disc/37740/081220190627464011_tse-acedifsm-37740-20190627464011-ixbrl.htm	2019年3月期 決算短信[IFRS](連結)	/disc/37740/140120190627464011.pdf
2019-05-14	3774	3774	/disc/37740/081220190513423726_tse-acedussm-37740-20190513423726-ixbrl.htm	2019年3月期 決算短信[米国基準](連結)	/disc/37740/140120190513423726.pdf
