コード	企業名	競合リスト
5698	エンビプロ・ホールディングス	"[{""code"": ""3168"", ""name"": ""黒谷""}, {""code"": ""9247"", ""name"": ""TREHD""}, {""code"": ""9793"", ""name"": ""ダイセキ""}]"
3288	オープンハウス	"[{""code"": ""1925"", ""name"": ""大和ハウス""}, {""code"": ""1928"", ""name"": ""積水ハウス""}, {""code"": ""3291"", ""name"": ""飯田GHD""}]"
3187	サンワカンパニー	"[{""code"": ""7463"", ""name"": ""アドヴァン""}, {""code"": ""7955"", ""name"": ""クリナップ""}, {""code"": ""7981"", ""name"": ""タカラスタ""}]"
6077	N・フィールド	
6076	アメイズ	"[{""code"": ""6565"", ""name"": ""ABホテル""}, {""code"": ""9616"", ""name"": ""共立メンテ""}, {""code"": ""9722"", ""name"": ""藤田観光""}]"
3186	ネクステージ	"[{""code"": ""7599"", ""name"": ""IDOM""}, {""code"": ""7602"", ""name"": ""レダックス""}, {""code"": ""9856"", ""name"": ""ケーユーH""}]"
3185	夢展望	"[{""code"": ""3092"", ""name"": ""ZOZO""}, {""code"": ""3558"", ""name"": ""ジェイドG""}]"
6075	フォトクリエイト	
2587	サントリー食品インターナショナル	"[{""code"": ""2502"", ""name"": ""アサヒGH""}, {""code"": ""2503"", ""name"": ""キリンHD""}, {""code"": ""2593"", ""name"": ""伊藤園""}]"
3184	ICDAホールディングス	"[{""code"": ""3011"", ""name"": ""バナーズ""}, {""code"": ""3538"", ""name"": ""ウイルプラ""}, {""code"": ""7593"", ""name"": ""VTHLD""}]"
6074	ジェイエスエス	"[{""code"": ""2378"", ""name"": ""ルネサンス""}, {""code"": ""4801"", ""name"": ""セントスポ""}]"
4978	リプロセル	"[{""code"": ""2802"", ""name"": ""味の素""}]"
6248	横田製作所	"[{""code"": ""6322"", ""name"": ""タクミナ""}, {""code"": ""6363"", ""name"": ""酉島製作所""}, {""code"": ""6365"", ""name"": ""電業社機械""}]"
4587	ペプチドリーム	"[{""code"": ""4572"", ""name"": ""カルナBS""}, {""code"": ""4583"", ""name"": ""カイオムB""}, {""code"": ""7777"", ""name"": ""3Dマト""}]"
3674	オークファン	"[{""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""3031"", ""name"": ""ラクーンH""}]"
1420	サンヨーホームズ	"[{""code"": ""1419"", ""name"": ""タマホーム""}, {""code"": ""3288"", ""name"": ""オプンHG""}, {""code"": ""8904"", ""name"": ""AVANT""}]"
1419	タマホーム	"[{""code"": ""1420"", ""name"": ""サンヨーH""}, {""code"": ""1873"", ""name"": ""日ハウスH""}, {""code"": ""3288"", ""name"": ""オプンHG""}]"
3673	ブロードリーフ	"[{""code"": ""2492"", ""name"": ""インフォM""}, {""code"": ""4776"", ""name"": ""サイボウズ""}, {""code"": ""4820"", ""name"": ""EMシス""}]"
6073	アサンテ	"[{""code"": ""1738"", ""name"": ""ニットー""}, {""code"": ""4651"", ""name"": ""サニックス""}]"
7215	ファルテック	"[{""code"": ""4246"", ""name"": ""ダイキニシ""}, {""code"": ""6982"", ""name"": ""リード""}, {""code"": ""7273"", ""name"": ""イクヨ""}]"
2588	ウォーターダイレクト	"[{""code"": ""3361"", ""name"": ""トーエル""}, {""code"": ""9788"", ""name"": ""ナック""}]"
9025	鴻池運輸	"[{""code"": ""9066"", ""name"": ""日新""}, {""code"": ""9068"", ""name"": ""丸全昭和運""}, {""code"": ""9147"", ""name"": ""NPNEX""}]"
3672	オルトプラス	"[{""code"": ""3624"", ""name"": ""アクセルM""}, {""code"": ""3656"", ""name"": ""KLab""}, {""code"": ""3667"", ""name"": ""enish""}]"
3182	オイシックス	"[{""code"": ""2484"", ""name"": ""出前館""}, {""code"": ""2678"", ""name"": ""アスクル""}, {""code"": ""9262"", ""name"": ""シルバーL""}]"
3671	ソフトマックス	"[{""code"": ""3733"", ""name"": ""Sサービス""}, {""code"": ""4320"", ""name"": ""CEHLD""}, {""code"": ""4820"", ""name"": ""EMシス""}]"
3670	協立情報通信	"[{""code"": ""4768"", ""name"": ""大塚商会""}, {""code"": ""7518"", ""name"": ""ネットワン""}, {""code"": ""9417"", ""name"": ""スマバリュ""}]"
3180	ビューティガレージ	"[{""code"": ""2678"", ""name"": ""アスクル""}, {""code"": ""3064"", ""name"": ""Monot""}, {""code"": ""3187"", ""name"": ""ミラタップ""}]"
3181	買収王国	"[{""code"": ""3093"", ""name"": ""トレファク""}, {""code"": ""3177"", ""name"": ""ありがとう""}]"
4586	メドレックス	"[{""code"": ""4579"", ""name"": ""ラクオリア""}]"
6034	ＭＲＴ	"[{""code"": ""2175"", ""name"": ""SMS""}, {""code"": ""4763"", ""name"": ""クリークR""}]"
6033	エクストリーム	"[{""code"": ""3723"", ""name"": ""日ファルコ""}, {""code"": ""3904"", ""name"": ""カヤック""}, {""code"": ""3907"", ""name"": ""シリコンS""}]"
